vente_id,date_vente,client_id,produit_id,canal_id,quantite,montant
1,2024-12-10,850,196,2,10,223.79
2,2026-03-22,891,60,3,3,790.76
3,2024-09-14,611,1,3,3,987.65
4,2024-05-16,554,65,2,2,664.45
5,2025-02-05,27,34,1,6,792.08
6,2025-03-22,244,151,3,1,182.5
7,2025-05-24,54,33,4,9,122.51
8,2026-02-28,66,122,4,6,518.11
9,2026-03-28,112,116,2,10,52.93
10,2025-06-14,803,169,3,8,646.91
11,2026-03-26,32,16,4,7,432.01
12,2025-08-07,111,126,4,2,900.27
13,2024-12-12,330,156,2,2,134.93
14,2025-01-28,640,163,3,7,994.68
15,2026-04-25,544,76,4,9,609.37
16,2025-02-05,102,180,1,9,723.63
17,2025-10-13,221,111,4,4,419.68
18,2025-06-10,848,117,4,7,732.32
19,2025-10-22,321,110,3,5,380.56
20,2024-05-13,157,176,4,2,100.31
21,2025-01-29,88,24,4,2,747.14
22,2025-05-30,382,34,1,10,957.06
23,2026-03-25,576,85,1,7,360.06
24,2024-12-31,682,193,4,1,968.71
25,2024-05-08,615,80,3,2,582.14
26,2024-05-27,218,40,4,4,848.8
27,2025-10-24,359,143,3,2,764.98
28,2025-03-03,588,58,4,9,974.8
29,2025-04-03,839,160,1,10,929.79
30,2024-11-30,850,178,3,1,188.61
31,2024-08-09,720,196,3,6,357.51
32,2024-07-18,186,37,4,2,150.46
33,2024-05-29,649,8,1,9,222.98
34,2025-04-22,430,117,3,3,376.35
35,2025-08-07,739,84,1,1,164.02
36,2025-01-18,773,159,1,2,279.38
37,2025-11-01,678,109,4,10,447.62
38,2026-02-18,280,56,1,6,435.61
39,2024-08-13,291,174,4,9,670.46
40,2025-04-10,47,57,4,10,64.23
41,2025-05-26,210,78,2,3,766.52
42,2024-07-17,297,84,1,1,502.41
43,2024-10-30,441,45,2,7,537.26
44,2025-07-20,236,129,3,2,403.1
45,2026-03-09,760,11,4,1,465.16
46,2025-11-30,80,81,4,10,410.38
47,2024-08-09,656,107,3,2,410.98
48,2025-12-24,990,84,2,10,465.5
49,2025-08-06,707,93,1,7,846.04
50,2025-02-05,250,112,4,9,87.86
51,2025-12-13,892,80,3,4,339.74
52,2025-11-20,173,20,1,9,514.85
53,2025-01-01,928,199,3,6,730.11
54,2025-03-09,839,166,2,4,111.78
55,2024-06-16,263,51,2,10,161.34
56,2025-01-30,778,168,1,3,951.78
57,2025-06-06,644,127,4,10,762.28
